,Tweets ,Sentiment,City
,is having safest transportation in trains by rpoviding women safety at transportation,1,mumbai
,this is haing software industries where many woman where many woman feel secure trnsportation at night time ,1,Kolkata
,they the women are having good respect in society of work culuture,1,chennai
,we women are having a joyful atmosphere at their work place ,1,mumbai
,this is promoting many rules about consciousness of woman,1,kolkata
,the people there are very geneous to woman in helping at thei social work ,1,chennai
,it is place where women are having a good place for shelter with secureity,1,mumbai
,it is the best place for women studies and place of of good things,1,kolkata
,it has a good proteins for women to  be safe in their work place ,1,chennai
,this place  has many women as influencers mostly women ,1,mumbai
,it has woman who enlighten their inner talents ,1,kolkata
,woman are so into sociality in here promote security,1,chennai 
,it is the safest place for women to live ,1,mumbai
,it is a place where women are fair enough for their work life,1,kolkata 
,  the best place for women to lead their beautiful life,1,chennai
,women are friendly to habituate in helping at their work woman cultutre,1,mumbai
,there are so many eductional institutions in there for women for their educational purposes,1,kolkata
,there is protection and secuirity for women in public place,1,chennai
,it is safest to work and work culture is calm and secure ,1,mumbai
,it is the safest city where woman can go to their works at night time and being responsible ,1,kolkata
,school are having efficient measures that are taken by government to promote secure life for women ,1,chennai
,this  is a place where there is a safe land for transportation where they give respect by giving special seats to women ,1,mumbai
,women at this place are having a respected and careful life which is garmless and secure for their work culture ,1,kolkata
,this is having a wide range of transportation for women to reach their destinations safely ,1,delhi
,these people are having happy lifes and being calm and secure about their future towards women safety,1,chennai
,here is having number of beaches where postguards are kept for safety to women ,1,mumbai
,these people are habituated to  have a safe and secure work environment that provides women safety,1,kolkata
,this is the safest  place for women tto lead their lives in a much better way from remaining places in INDIA,1,chennai
,it is considered that women at this place are having harmless lives for better future,1,delhi
,here the people are having pleasant  life with nontoxic people around them ,1,pune
,these women are fair enough to know there safety for their work life,1,mumbai
,the place herehas many women as there influencers to promote a safe and secure for women ,1,chennai
,is having a wide range of schooling and college where women is given more important role in social life,1,delhi
, it is having a good happy environment to promote a logical area to secure there futur life of women,1,pune
,the women are taking greater steps in order to protect their life and to be safe and non toxic,1,kolkata
,the women at this place are having a great resource of safty to promote a great secure life,1,mumbai
,the place where a wide range of women in socity where every women are in a place where there is a life of happy,1,chennai
,we the women are having a lot of job offers in working about there future to give a harmless life,1,delhi
,there is a greater scope of people here where women is having there life happy,1,pune
,this place is having many social people in order to provide a happy life for women,1,kolkata
,here every one are taking a lot of things that are taken into life where every women is safe,1,mumbai
,the places here are there from a lot of time where a women is being responsible about being life,1,chennai
